,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
2676,Wookies,4.677419355,62,"Wookies (not to be confused with the strain “Wookie” or the enormous, sentient space-bears of Star Wars) is an indica-dominant cross of White 91 (The White x Chemdawg 91) and Girl Scout Cookies. Known for its loud terpene profile and high-THC percentage, Wookies grows the Cookies genetic line while standing firmly on its own in terms of effects. It combines the generous trichome production of White 91 with the minty, musky aroma of the GSC “Forum Cut” to create a strain that is potent and pleasing to the senses.",,0.63,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055114125,,0.363024445,0.826971927,0.708142562,,,0.526169315,0.959877548,,,0.252796194,,,,,0.266713903,,,0.506688213,,0.766039211,1,0.770696281,,0.81335847,,,1,,1,0.919354839,0.005065359,
2677,Wreckage,4.5,10,"Wreckage, bred by T.H. Seeds, is a sativa-dominant cross between Trainwreck and SAGE that provides an energetic, happy escape from stress, fatigue, and bad moods. Combining flavor profiles from both parents, Wreckage takes on a fresh menthol and herbal sandalwood aroma.",19.5,0.385,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.975,,0.8,0.95,,,,1,,,,,0.2,,1,0.026315789,0.95,,,,0.4,0.95,,,,,0.4,1,,,0.875,0.000816993,0.624183007
2678,X-File,4.5,1,"Not to be confused with the similar-sounding X-Files hybrid, this indica-dominant strain crosses Kosher Tangie with a White Fire Alien OG and '09 Cookies hybrid. Dense, chunky buds radiate with a sweet peach and citrus aroma undoubtedly powered by its Tangie genetics. Powerful and long-lasting, X-File's heavy indica effects are best saved for evenings and sleepless nights.",,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,0.875,8.17E-05,
2679,X-Files,4.555555556,8,"X-Files, bred by Pheno-Type Seeds, is a hybrid strain that crosses Sour Diesel, Mask, and the pure indica Purple Drank. It inherits a strong tangy flavor with buds that grow dense like its Sour Diesel parent.",,0.42,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,0.5,,,,1,,0.333333333,,1,,0.75,0.666666667,,,,,,0.5,1,0.75,,0.833333333,,,,,,0.888888889,0.000653595,
2680,X-Wing,4.333333333,15,"X-Wing is a mid-level indica-dominant strain with dark purple foliage and lightly frosted buds. This Skywalker OG phenotype exhibits OG Kush flavors like earth and spice coupled with the pungent aroma of forest floor. X-Wing is surprisingly heady while still offering medium-weight body effects that curb pain, encourage rest and relaxation, and dissipate stress.",,0.69,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.709677419,,,0.709677419,0.65,,,,0.5,,,0.290322581,,,,0.35483871,,,1,0.95,,,,,1,,1,0.833333333,0.00122549,
2681,X-tra Chz,4,1,"X-tra Chz, bred by MTG Seeds, is a hybrid cross between Cheese #1 and Cheese Bomb. Like its parent strains, X-tra Chz takes on a pungent aroma and a dark purple-blue coloration. The upbeat effects feed creativity and social energy, making this strain a good choice for those wishing to stay active and productive.",,0.36,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,1,1,,,1,,,,,,,,1,1,,,1,,1,,1,,1,,1,1,1,,0.75,8.17E-05,
2682,XJ-13,4.31625,819,"XJ-13 is a sativa-dominant strain cherished for both its therapeutic potency and enjoyable euphoric buzz. This hybrid cross of Jack Herer and G13 Haze induces unencumbered cerebral effects perfect for stimulating creativity and conversation. As if we needed another reason to love this lightweight sativa, XJ-13 consistently exhibits a strong citrus aroma accented by notes of earthy pine. Novice consumers looking for an easy, paranoia-free experience can depend on XJ-13 as a surefire way to relieve stress and mood-related symptoms.",16,0.375,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0.680158338,,0.150082919,,0.917446103,0.324110919,1,0.723155322,,,1,,,0.385074627,,0.745976925,,0.813445739,,,0.147097844,,,0.799146583,0.765274817,0.489926671,,,,,1,,,0.8290625,0.066911765,0.509803922
2683,XXX 420,4.333333333,16,"XXX 420 from Ontario, Canada is an indica cross between Sweet Tooth #3 and Chemo. One of the frontrunners of the 2004 Cannabis Cup, XXX 420 is a reputable and hard-hitting indica with relaxing and euphoric effects. This strain is popular among growers who wait 45 to 50 days for XXX 420 to flower before harvesting.",,0.94,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036036036,0.791366906,1,,,,1,,0.985915493,,,,,,,0.809859155,0.009009009,,,1,0.823943662,,,0.992957746,,0.230215827,1,,0.208633094,0.833333333,0.00130719,
2684,XXX OG,4.561264822,257,"XXX OG, from parent strains OG Kush and XXX, is a hard-hitting indica that took 1st place in the 2014 Los Angeles Cannabis Cup. Its bulky, conic buds glow with a heavy, white coat of oozing trichomes, emitting earthy, pine, and lemon notes that combine for a sap-like aroma. In small doses, XXX OG induces moderately sedating effects that allow some mental clarity and physical energy. As you increase the dose, the fight against lethargy and couchlock becomes futile. This makes XXX OG an excellent remedy for sleeplessness, and severe cases of nausea and chronic pain may benefit from the potent effects of this indica. With a strain this powerful, dosing with caution is key.",14,0.6,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.03021978,,0.706043956,0.528253267,0.470914441,,,0.61747397,1,,,,,,,0.515504753,0.01007326,,0.056547619,,,0.845389288,1,0.538560648,,0.82729742,,,1,,0.345665378,0.890316206,0.020996732,0.444444444
2685,Xanadu,4.75,4,"Xanadu, named after the extravagant palace of Mongol emperor Kublai Khan, is sativa-dominant strain that delivers soaring cerebral euphoria alongside a skunky, citrus aroma. Bred by Dutchgrown Seeds, Xanadu combines a Pakistani indica called X-18 with DTC99, a Cinderella 99 and Durban Thai hybrid. Although this sativa tends to induce heady, high-energy stimulation, Xanadu anchors itself with mellow relaxation that allows one to remain comfortable during the effects' duration.",14,0.25,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,0.666666667,,,1,,,,1,1,,0.666666667,,0.666666667,,,,1,,1,,,,,,,,0.9375,0.000326797,0.444444444
2686,Y Griega,4.746031746,49,"Also known as simply “Y,” the 80% sativa Y Griega is an energizing strain with a sweet floral, citrus aroma. Unusual for a sativa variety, Y Griega produces large, resin-coated buds on tall stalks. This sativa cross between Amnesia Haze and Kali Mist delivers an energetic cerebral buzz followed by a long-lasting calm that soothes both mind and body. Y Griega's high THC content makes it suitable for a variety of conditions including pain, inflammation, glaucoma, fatigue, and appetite loss. Growers won't be disappointed with Y Griega's yields, but its 85 to 95-day flowering time requires some devotion and patience.",17,0.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,0.992327366,0.009404389,,1,0.503836317,,,0.645768025,,,0.018808777,,,,0.595907928,0.009404389,,0.028213166,,,0.561128527,,0.112852665,,0.572890026,,,1,0.467084639,,0.936507937,0.004003268,0.54248366
2687,Yeti OG,4.563636364,55,"Originally known as the Headband BX, Yeti OG was bred by NorCal collective Loompa Farms and has become a highly sought after strain due to its incredible taste and heavy yields. This 70/30 indica-dominant strain usually has THC levels over 20% and CBD levels above 3%, making it a very good choice for relaxation and pain relief. Featuring a rich, creamy-tasting smoke with strong undertones of diesel fuel and hints of lemon and pine, Yeti OG is a favorite with connoisseurs of flavorful cannabis.",19,0.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,0.547945205,,0.671232877,1,0.947906027,0.502553626,,,0.197396963,,,0.589041096,,,,,,0.826353422,,,,0.932754881,1,0.177874187,,0.551583248,,,1,,0.171366594,0.890909091,0.004493464,0.607843137
2688,Yoda OG,4.465346535,305,"Yoda OG, a descendant of the legendary OG Kush, is an indica-dominant strain that induces heavy relaxation of the mind and body. This strain boasts its OG genetics with chunky pale buds, a tangle of orange hairs, and a pungent citrus aroma. Its sedating, euphoric effects make it a popular medicine for anxiety and insomnia, and it also provides an extra kick to the appetite. Seasoned consumers may be able to withstand its heaviness during the day, but Yoda OG is most popularly chosen for nighttime consumption.",14,0.8,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.520861133,,0.554380377,0.362159912,0.584615479,,,0.720172843,1,,,,,,,,0.122442705,,0.126298248,0.390284361,,0.682899578,1,0.678500255,,0.702934335,,,1,,0.774186877,0.866336634,0.024918301,0.444444444
2689,Yoda's Brain,4.842105263,19,"Yoda's Brain is an indica-dominant cut with dense, crystal-coated buds rich with potency. Due to its high THC content, Yoda's Brain exhibits a sativa-dominant rush to the head off the get-go. This powerful sizzle in the brain simmers down and wraps the body in a weighted aura some might consider meditative. It has a slightly floral aroma with overtones of earth and spices. Enjoy Yoda's Brain near the end of the day to amplify its relaxing, sedative effects.",,0.88,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.764705882,,,0.764705882,0.058823529,,,0.970588235,,,0.192307692,,,,1,,,1,,,,,,0.096153846,0.75,0.115384615,,,,,1,,0.173076923,0.960526316,0.001552288,
2690,Yogi Diesel,4.461538462,11,"A pungent mix of Sour Diesel and Northern Lights #5, Yogi Diesel is a great way to relieve stress and maintain your energy. This sativa-dominant hybrid provides an uplifting and inspirational sense of euphoria. The bold skunky notes of diesel fuel mix with spiced lemon and pine flavors to give a relaxing but creative effect that will help get you through your to-do list.",21,0.39,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.666666667,0.333333333,,,,,,,0.986486486,1,0.040540541,,0.333333333,,,,0.067567568,,,,,,0.333333333,1,1,,0.054054054,,,1,,0.666666667,0.865384615,0.000898693,0.673202614
2691,Yumboldt,4.179104478,69,Yumboldt can be hard to find but it is renowned for its potency.  Yumboldt is great at making you sleepy and content.,14,0.75,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272727273,,0.772727273,,0.760869565,,0.333333333,0.826086957,0.939393939,,,,,,,0.52173913,0.181818182,,0.136363636,,,0.515151515,1,1,,0.695652174,,,1,,0.757575758,0.794776119,0.005637255,0.444444444
2692,Yummy,4.285714286,35,"Yummy is an indica-dominant hybrid that hails from Northern California where it was bred by combining Granddaddy Kush and White Dawg genetics. Its potent effects settle heavily throughout the body, and while your mind may feel relaxed, it won't necessarily feel asleep. However, this strain is better paired with calm, meditative activities than focused, cognitive tasks as Yummy tends to blanket thoughts in a foggy tranquility. This high-THC strain can provide relief to a variety of symptoms and conditions including pain, insomnia, nausea, depression, and appetite loss.",3,0.575,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,0.057142857,0.4875,0.228571429,,0.76875,,,1,0.33974359,,,0.057142857,,,,,1,,,,,0.08974359,0.6625,1,,0.5,,,0.457142857,,0.064102564,0.821428571,0.002859477,0.08496732
2693,Zamaldelica,4.5,4,"Zamaldelica by Ace Seeds is a potent sativa-dominant strain from La Reunion Island near Madagascar. It is a cross of Zamal and Golden Tiger, and is famous for its heady, psychedelic effects and powerful physical vigor. The bright, spear-like colas are wrapped in red hairs and express a unique aroma of sweet carrot, mango, and citrus. This strain's powerful mental effects leave the mind soaring and could overwhelm the uninitiated sativa consumer. Zamaldelica has an extended flowering period of approximately 11 to 14 weeks.",22,0.5,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,0.6,1,,0.4,,0.4,0.5,1,,,,,,1,,,0.4,,,0.5,,1,,,,,0.4,,0.5,0.875,0.000326797,0.705882353
2694,Zardde Gold,,0,"Bred by Israel's Seach Medical Cannabis Group, Zardde Gold crosses AK-47 with Sour Diesel. It carries flavors of lemon, pine, eucalyptus, and incense. With long-lasting effects, Zardee Gold offers a powerful high, great for decreasing pain and increasing appetite.",,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2695,Zelda,4.625,8,"Zelda by Swamp Boys Seeds is a balanced mixture of Legend OG and Orange Blossom Trail. With both soothing and relaxing effects, Zelda lays into the body, calming and centering sporadic thoughts while tempering minor aches and pains. Its aroma is compelling and intricate, offering notes of anise, rose, and sandalwood. Enjoy Zelda throughout the day to minimize stress and mute “monkey mind.”",,0.54,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956521739,,0.305483029,0.242819843,,,1,,,,,0.695652174,0.347826087,,,,,0.355091384,,0.652173913,1,0.652173913,,0.289817232,,,1,,,0.90625,0.000653595,
2696,Zelly's Gift,4.8,20,"Zelly's Gift by Dragonfly Earth Medicine is a flavorful sativa-dominant strain with a heartfelt dedication. Created for a friend of the farm who'd been imprisoned on a cannabis conviction, Zelly's Gift is the flavorful cross of an Afgoo x Purple Thai x Super Lemon Haze x God Bud father and a Jack Herer mother. The strong mother genetics root this strain in uplifting sativa effects while its recessive indica-dominant genetics imbue the plant with flavors of lime leaves and grape jelly. The grower suggests Zelly's Gift for consumers seeking an energizing boost that improves mood and helps combat depression.",,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,0.205128205,,0.41025641,,1,0.719008264,,,1,,,,,0.441176471,,0.966942149,,0.723140496,,,,0.897058824,,0.338235294,,0.747933884,,,1,0.455882353,,0.95,0.001633987,
2697,Zen,4.391304348,23,"With a balanced ratio of THC and CBD, Zen is the great hybrid healer of stomach and digestive upsets. Zen's breeders at CBD Seeds first crossed a Mexican Sativa with Afghani, and then added a calming Lavender hybrid to the mix. With an aromatic blend of sour berry and earthy notes, Zen delivers swift relief to appetite loss, nausea, anorexia, Crohn's disease, and anxiety. Growers recommend cultivating Zen in a soil medium with a 10 week flowering time indoors.",11,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.576923077,,0.066666667,,0.866666667,,0.711538462,,0.510204082,,0.571428571,,,0.1,,,,1,0.033333333,,,,,1,0.980769231,0.551020408,,0.538461538,,,1,0.551020408,,0.847826087,0.001879085,0.346405229
2698,Zeta Sage,4.53125,64,"Zeta Sage is a sativa-dominant hybrid that combines SAGE and OG Kush genetics. The flavors of Zeta Sage are a sweet, pungent mix of sharp diesel and blueberry that leave a lingering menthol aftertaste. Its uplifting rush of euphoric effects provides a heady buzz that relaxes the body without overpowering, making Zeta Sage a great choice for daytime activities.",24,0.5,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,0.571428571,0.056179775,1,,,0.690344062,1,,,0.285714286,,0.056179775,,0.309655938,0.285714286,,,,,0.54494382,0.73917869,0.08988764,,0.980022198,,,1,,,0.8828125,0.005228758,0.77124183
2699,Zeus OG,4.69047619,34,"Zeus OG is a hybrid cross between Pineapple OG and Deadhead OG bred by A Greener Today's Dankczar. It took first place in the ""Best Medical Hybrid"" category of the 2014 High Times Washington Cannabis Cup.",17,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,0.375,,0.875,,0.560839161,0.465734266,,,0.823255814,,,,,0.725581395,,,0.5,0.51048951,0.25,,,1,0.569230769,0.08372093,,,,,1,0.958139535,,0.922619048,0.002777778,0.54248366
2700,Zkittlez,4.613636364,309,"Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored cannabis bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are surprisingly uplifting for an indica, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",15,0.7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.251187597,,0.678423879,0.411643864,0.57042395,,,0.511231666,1,,,0.222688864,,,,0.432431538,0.253587983,,,0.462148235,,0.885074575,1,0.706009117,,,,,1,,0.565031916,0.903409091,0.025245098,0.477124183
2701,Zombie Kush,4.703703704,27,"Zombie Kush by Ripper Seeds comes from two different Kush genetics, resulting in hues of purple embedded within its trichome-laden foliage. Created by crossing Sideral (Lavender Kush x Amnesia) with Bubba Kush, Zombie Kush's unique genetic lineage and complex terpene profile won it 1st Prize at the 2017 Napoli Secret Cup for Best Extract and 1st Prize Indica at the 2016 UCLA Cup. It has enjoyable and potent effects with a snappy indoor flowering time of 55-60 days.",15,0.8,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047619048,,1,0.5,0.867713004,,,0.580717489,1,,,,,,,0.458893871,0.023809524,,,,,0.417391304,1,0.708695652,,0.537369208,,,0.590277778,,0.791304348,0.925925926,0.002205882,0.477124183
